producteur,origine
Worthy Park ,Jamaique
Ferroni ,Jamaique
Hee Joy ,Trinite et Tobago
Hee Joy ,Jamaique
J. Bally ,Martinique
Neisson ,Martinique
Navy Island ,Jamaique
Appleton ,Jamaique
Black Jamaica ,Jamaique
Blackwell ,Jamaique
Compagnie des Indes ,Jamaique
Companero ,Jamaique
Coruba ,Jamaique
Myers ,Jamaique
Cashcane ,Trinite et Tobago
Rum Nation ,Jamaique
Dos Maderas ,Guyana
Rum Bullion ,Barbade
Cockspur ,Barbade
Rum & Cane ,Trinite et Tobago
RL Seales ,Barbade
Tres Hombres ,Martinique
Dillon ,Martinique
Hardy ,Martinique
Compagnie des Indes ,Martinique
Confrerie du Rhum ,Marie Galante
Reimonenq ,Guadeloupe
Smith & Cross ,Jamaique
La Mauny ,Martinique
La La Favorite ,Martinique
Chantal Comte ,Martinique
Darboussier  ,Guadeloupe
Darboussier ,Guadeloupe
Karukera  ,Guadeloupe
A 1710 ,Martinique
Clement  ,Martinique
Longueteau   ,Guadeloupe
Madras ,Guadeloupe
Heritiers Madkaud ,Martinique
Severin ,Guadeloupe
Papillon ,Guadeloupe
HBS ,Martinique
Rum Fire ,Jamaique
La Maison du  Rhum ,Françaises
Plantation ,Guadeloupe
Wray & Nephew ,Jamaique
Grand Fond Gallion ,Martinique
Bielle ,Marie Galante
Pere Labat ,Marie Galante
Neisson  Blanc le ,Martinique
Island Signature ,Jamaique
Arrange ,Martinique
Mabi ,Guadeloupe
Quai Sud,France
Saveur de Coriandre,Guadeloupe
Dormoy ,Martinique
Trois Rivieres VOSP  ,Martinique
